area,detail,year,where,accomplishment
\href{https://coursera.org/share/0bf6cab184657077fca8ef68546282d7}{IBM and Coursera},Data Analysis with Python,2020,Online,IBM
DELL-EMC,Data Science - effective use of data,2012,"St Petersburg, Russia",DELL-EMC-Academic Alliance
DELL-EMC,ISM - administration of information and data storage,2012,"St Petersburg, Russia",DELL-EMC-Academic Alliance
Big Data University,Big Data 101,2017,Online,IBM
IBM,Certificate of passing the course Fundamentals of IBM z Series,2007,"St Petersburg, Russia",
Smart City and IoT,Certificate of knowledge of technology AMX I - II level,2013,"Moscow, Russia",
Smart City and IoT,Certificate of knowledge of ABB technology I-III,2013,"St Petersburg, Russia",
Smart City and IoT,Certificate knowledge of technology Crestron I - II level,2013,"St Petersburg, Russia",
\href{https://www.intuit.ru/verifydiplomas/00163698}{Intuit National Open University},The C Programming Language,2012,Online,
\href{https://www.intuit.ru/verifydiplomas/100998270}{Intuit National Open University},Data Mining,2016,Online,
